time,symbol,side,entry,exit,qty_closed,gross_pnl,trading_cost,leverage_fee,total_cost,net_pnl,balance,event
2026-09-06T15:00:44.954531+00:00,ETH,LONG,392023.4428571429,387601.0,0.0837704821249072,-370.4701703127118,0.0,0.0,0.0,-370.4701703127118,101941.53630967898,REVIEW_END
2026-09-06T15:44:44.362835+00:00,XRP,LONG,221.35564285714287,220.45,499.2530842251521,-452.1449896350615,32.95070355886129,0.0,32.95070355886129,-485.0956931939228,101571.06613936627,REVIEW_END
2026-09-06T23:12:31.146258+00:00,SOL,LONG,16568.02857142857,16569.0,4.051883266074034,3.9361151727593175,28.363182862518237,26.85268708816316,55.215869950681395,-51.27975477792208,101085.97044617234,REVIEW_END
2026-09-06T23:47:38.430781+00:00,ETH,LONG,389572.7428571429,393910.0,0.06283947318256866,272.55095391447463,2.5135789273027465,9.79221837097246,12.305797298275206,260.24515661619944,101034.69069139443,TP1
2026-09-07T03:17:33.685294+00:00,BTC,LONG,12507737.142857142,12470000.0,0.008230615930255375,-310.5999291623141,1.9506559754705237,0.0,1.9506559754705237,-312.5505851377846,101034.69069139443,REVERSAL_END
2026-09-07T07:26:17.274315+00:00,ETH,LONG,389572.7428571429,388959.0,0.14662543742599354,-89.99031489565317,5.865017497039742,22.84850953226907,28.71352702930881,-118.70384192496198,100722.14010625664,STOP_END
2026-09-07T07:38:26.261666+00:00,SOL,LONG,16421.014285714286,16271.0,7.250269761831127,-1087.6440395569796,3.6251348809155637,0.0,3.6251348809155637,-1091.2691744378951,100863.68142094788,STOP_END
2026-09-07T13:02:25.330641+00:00,BTC,SHORT,12390013.07142857,12304320.0,0.003661471781416726,313.76276289864023,0.5675281261195925,0.0,0.5675281261195925,313.1952347725206,99772.41224650998,REVERSAL_END
2026-09-07T14:14:34.496261+00:00,BTC,LONG,12293885.014285713,12241039.0,0.015526508369297544,-820.5140830911472,7.049034799661085,0.0,7.049034799661085,-827.5631178908083,100085.6074812825,STOP_END
2026-09-07T15:36:13.459081+00:00,XRP,SHORT,219.12772857142858,214.362,49.29122968493902,234.90862163036255,0.5668491413774039,0.0,0.5668491413774039,234.34177248898513,99258.04436339169,TP1
