time,symbol,side,long,short,confidence,price
2026-08-25T19:01:31.625577+00:00,SOL,WAIT,56,0,56,15704.0
2026-08-25T19:07:16.021062+00:00,BTC,WAIT,32,0,32,12597752.0
2026-08-25T19:07:16.021081+00:00,ETH,WAIT,32,10,32,392802.0
2026-08-25T19:07:16.021087+00:00,XRP,WAIT,24,10,24,235.053
2026-08-25T19:07:16.021092+00:00,SOL,WAIT,48,0,48,15706.0
2026-08-25T19:13:00.909082+00:00,BTC,WAIT,32,0,32,12597752.0
2026-08-25T19:13:00.909101+00:00,ETH,WAIT,32,10,32,392802.0
2026-08-25T19:13:00.909106+00:00,XRP,WAIT,24,10,24,235.053
2026-08-25T19:13:00.909112+00:00,SOL,WAIT,48,0,48,15706.0
2026-08-25T19:18:44.502952+00:00,BTC,WAIT,32,14,32,12602000.0
2026-08-25T19:18:44.502971+00:00,ETH,WAIT,32,20,32,393004.0
2026-08-25T19:18:44.502976+00:00,XRP,WAIT,24,10,24,235.035
2026-08-25T19:18:44.502982+00:00,SOL,WAIT,42,0,42,15684.0
2026-08-25T19:24:27.995106+00:00,BTC,WAIT,32,14,32,12602000.0
2026-08-25T19:24:27.995123+00:00,ETH,WAIT,32,20,32,393004.0
2026-08-25T19:24:27.995129+00:00,XRP,WAIT,24,10,24,235.035
2026-08-25T19:24:27.995134+00:00,SOL,WAIT,42,0,42,15684.0
2026-08-25T19:30:11.908946+00:00,BTC,WAIT,32,14,32,12602000.0
2026-08-25T19:30:11.908966+00:00,ETH,WAIT,32,20,32,393004.0
2026-08-25T19:30:11.908972+00:00,XRP,WAIT,24,10,24,235.035
2026-08-25T19:30:11.908977+00:00,SOL,WAIT,42,0,42,15684.0
2026-08-25T19:35:56.422634+00:00,BTC,WAIT,32,30,32,12572550.0
2026-08-25T19:35:56.422653+00:00,ETH,WAIT,32,40,40,392501.0
2026-08-25T19:35:56.422659+00:00,XRP,WAIT,14,24,24,234.279
2026-08-25T19:35:56.422664+00:00,SOL,WAIT,32,14,32,15590.0
2026-08-25T19:41:41.465831+00:00,BTC,WAIT,32,30,32,12572550.0
2026-08-25T19:41:41.465852+00:00,ETH,WAIT,32,40,40,392501.0
2026-08-25T19:41:41.465857+00:00,XRP,WAIT,14,24,24,234.279
2026-08-25T19:41:41.465863+00:00,SOL,WAIT,32,14,32,15590.0
2026-08-25T19:47:26.175643+00:00,BTC,WAIT,32,22,32,12544560.0
2026-08-25T19:47:26.175662+00:00,ETH,WAIT,32,32,32,391721.0
2026-08-25T19:47:26.175668+00:00,XRP,WAIT,14,40,40,233.315
2026-08-25T19:47:26.175673+00:00,SOL,WAIT,32,30,32,15538.0
2026-08-25T19:48:41.867344+00:00,BTC,WAIT,32,22,32,12544560.0
2026-08-25T19:48:41.867363+00:00,ETH,WAIT,32,32,32,391721.0
2026-08-25T19:48:41.867369+00:00,XRP,WAIT,14,40,40,233.315
2026-08-25T19:48:41.867375+00:00,SOL,WAIT,32,30,32,15538.0
2026-08-25T19:54:37.438147+00:00,BTC,WAIT,32,22,32,12544560.0
2026-08-25T19:54:37.438167+00:00,ETH,WAIT,32,32,32,391721.0
2026-08-25T19:54:37.438173+00:00,XRP,WAIT,14,40,40,233.315
2026-08-25T19:54:37.438179+00:00,SOL,WAIT,32,30,32,15538.0
2026-08-25T20:00:31.579547+00:00,BTC,WAIT,32,22,32,12544560.0
2026-08-25T20:00:31.579571+00:00,ETH,WAIT,32,32,32,391721.0
2026-08-25T20:00:31.579577+00:00,XRP,WAIT,14,40,40,233.315
2026-08-25T20:00:31.579583+00:00,SOL,WAIT,32,30,32,15538.0
2026-08-25T20:06:24.723143+00:00,BTC,WAIT,44,32,44,12564100.0
2026-08-25T20:06:24.723165+00:00,ETH,WAIT,26,32,32,392173.0
2026-08-25T20:06:24.723170+00:00,XRP,WAIT,14,26,26,234.198
2026-08-25T20:06:24.723176+00:00,SOL,WAIT,32,40,40,15574.0
2026-08-25T20:12:19.159861+00:00,BTC,WAIT,44,32,44,12564100.0
2026-08-25T20:12:19.159882+00:00,ETH,WAIT,26,32,32,392173.0
2026-08-25T20:12:19.159888+00:00,XRP,WAIT,14,26,26,234.198
2026-08-25T20:12:19.159894+00:00,SOL,WAIT,32,40,40,15574.0
2026-08-25T20:18:15.126566+00:00,BTC,WAIT,32,35,35,12555168.0
2026-08-25T20:18:15.126587+00:00,ETH,WAIT,14,35,35,391475.0
2026-08-25T20:18:15.126593+00:00,XRP,WAIT,14,37,37,231.939
2026-08-25T20:18:15.126598+00:00,SOL,WAIT,32,37,37,15557.0
2026-08-25T20:24:10.470399+00:00,BTC,WAIT,32,35,35,12555168.0
2026-08-25T20:24:10.470420+00:00,ETH,WAIT,14,35,35,391475.0
2026-08-25T20:24:10.470425+00:00,XRP,WAIT,14,37,37,231.939
2026-08-25T20:24:10.470431+00:00,SOL,WAIT,32,37,37,15557.0
2026-08-25T20:30:05.565602+00:00,BTC,WAIT,32,35,35,12555168.0
2026-08-25T20:30:05.565623+00:00,ETH,WAIT,14,35,35,391475.0
2026-08-25T20:30:05.565628+00:00,XRP,WAIT,14,37,37,231.939
2026-08-25T20:30:05.565634+00:00,SOL,WAIT,32,37,37,15557.0
2026-08-25T20:35:55.022479+00:00,BTC,WAIT,32,38,38,12548001.0
2026-08-25T20:35:55.022498+00:00,ETH,WAIT,14,30,30,391356.0
2026-08-25T20:35:55.022504+00:00,XRP,WAIT,31,18,31,232.325
2026-08-25T20:35:55.022509+00:00,SOL,WAIT,32,26,32,15584.0
2026-08-25T20:41:52.082727+00:00,BTC,WAIT,32,38,38,12548001.0
2026-08-25T20:41:52.082749+00:00,ETH,WAIT,14,30,30,391356.0
2026-08-25T20:41:52.082754+00:00,XRP,WAIT,31,18,31,232.325
2026-08-25T20:41:52.082760+00:00,SOL,WAIT,32,26,32,15584.0
2026-08-25T20:47:49.756370+00:00,BTC,WAIT,32,31,32,12496683.0
2026-08-25T20:47:49.756390+00:00,ETH,WAIT,14,18,18,389677.0
2026-08-25T20:47:49.756396+00:00,XRP,WAIT,14,23,23,230.84
2026-08-25T20:47:49.756402+00:00,SOL,WAIT,32,40,40,15441.0
2026-08-25T20:53:42.485166+00:00,BTC,WAIT,32,31,32,12496683.0
2026-08-25T20:53:42.485186+00:00,ETH,WAIT,14,18,18,389677.0
2026-08-25T20:53:42.485192+00:00,XRP,WAIT,14,23,23,230.84
2026-08-25T20:53:42.485198+00:00,SOL,WAIT,32,40,40,15441.0
2026-08-25T20:54:49.906889+00:00,BTC,WAIT,32,31,32,12496683.0
2026-08-25T20:54:49.906910+00:00,ETH,WAIT,14,18,18,389677.0
2026-08-25T20:54:49.906916+00:00,XRP,WAIT,14,23,23,230.84
2026-08-25T20:54:49.906922+00:00,SOL,WAIT,32,40,40,15441.0
2026-08-25T21:00:43.621318+00:00,BTC,WAIT,32,31,32,12496683.0
2026-08-25T21:00:43.621339+00:00,ETH,WAIT,14,18,18,389677.0
2026-08-25T21:00:43.621345+00:00,XRP,WAIT,14,35,35,230.0
2026-08-25T21:00:43.621350+00:00,SOL,WAIT,32,40,40,15441.0
2026-08-25T21:06:29.021490+00:00,BTC,WAIT,32,45,45,12462101.0
2026-08-25T21:06:29.021512+00:00,ETH,WAIT,14,49,49,388125.0
2026-08-25T21:06:29.021517+00:00,XRP,WAIT,14,35,35,230.0
2026-08-25T21:06:29.021522+00:00,SOL,WAIT,32,31,32,15396.0
2026-08-25T21:12:13.353033+00:00,BTC,WAIT,32,45,45,12462101.0
2026-08-25T21:12:13.353069+00:00,ETH,WAIT,14,49,49,388125.0
2026-08-25T21:12:13.353075+00:00,XRP,WAIT,14,35,35,230.0
2026-08-25T21:12:13.353080+00:00,SOL,WAIT,32,31,32,15396.0
2026-08-25T21:18:11.286849+00:00,BTC,WAIT,49,26,49,12468959.0
2026-08-25T21:18:11.286871+00:00,ETH,WAIT,14,35,35,387120.0
2026-08-25T21:18:11.286877+00:00,XRP,WAIT,14,35,35,228.384
2026-08-25T21:18:11.286883+00:00,SOL,WAIT,32,31,32,15372.0
2026-08-25T21:23:57.875801+00:00,BTC,WAIT,49,26,49,12468959.0
2026-08-25T21:23:57.875822+00:00,ETH,WAIT,14,35,35,387120.0
2026-08-25T21:23:57.875828+00:00,XRP,WAIT,14,35,35,228.384
2026-08-25T21:23:57.875834+00:00,SOL,WAIT,32,31,32,15372.0
2026-08-25T21:29:45.256283+00:00,BTC,WAIT,49,26,49,12468959.0
2026-08-25T21:29:45.256305+00:00,ETH,WAIT,14,35,35,387120.0
2026-08-25T21:29:45.256311+00:00,XRP,WAIT,14,35,35,228.384
2026-08-25T21:29:45.256317+00:00,SOL,WAIT,32,31,32,15372.0
2026-08-25T21:35:33.172829+00:00,BTC,WAIT,49,26,49,12499999.0
2026-08-25T21:35:33.172849+00:00,ETH,WAIT,14,30,30,387284.0
2026-08-25T21:35:33.172855+00:00,XRP,WAIT,19,30,30,228.392
2026-08-25T21:35:33.172862+00:00,SOL,WAIT,49,26,49,15390.0
2026-08-25T21:41:18.570905+00:00,BTC,WAIT,49,26,49,12499999.0
